PV_worst, load_worst
0.00,318.74
0.00,315.27
0.00,310.57
0.00,307.50
0.00,305.63
0.00,302.27
0.00,299.74
0.00,299.85
0.00,298.59
0.00,295.88
0.00,296.83
0.00,295.13
0.00,292.52
0.00,292.41
0.00,291.46
0.00,292.25
0.00,291.41
0.00,290.82
0.00,292.24
0.00,292.12
0.00,290.82
0.00,294.36
0.00,295.09
0.00,298.76
0.00,305.16
2.63,308.44
10.35,310.02
21.16,315.19
25.75,326.11
47.90,332.60
33.28,338.07
82.70,342.58
124.86,365.40
157.42,372.73
176.16,378.78
56.23,383.20
259.08,259.27
292.10,260.09
317.51,261.66
338.08,260.28
381.07,249.54
398.66,248.76
405.14,248.92
437.00,247.88
443.85,247.34
457.75,244.76
464.79,243.26
474.26,239.51
488.77,233.92
505.97,231.71
484.88,229.98
491.57,228.24
490.16,238.20
485.94,239.89
488.78,243.82
479.61,244.88
456.77,243.24
478.75,242.67
452.57,244.80
418.08,243.51
442.87,242.34
389.69,245.97
378.27,247.18
406.19,250.11
331.32,254.10
295.37,255.20
115.49,410.01
150.29,411.30
87.23,407.15
91.34,410.24
47.74,407.98
28.03,409.02
55.17,398.45
50.78,400.06
31.61,401.37
15.10,403.00
5.42,391.78
0.55,391.40
0.00,391.57
0.00,391.23
0.00,381.42
0.00,378.89
0.00,379.17
0.00,376.01
0.00,365.76
0.00,362.52
0.00,360.49
0.00,357.17
0.00,348.08
0.00,345.22
0.00,340.69
0.00,336.58
0.00,339.74
0.00,335.27
0.00,328.90
0.00,320.75
